ID,V2017,V2022
1,0208.90," 0208.90
ex 0410.10"
2,0210.99," 0210.99
ex 0410.10"
3,0305.10, 0309.10
4,0306.19," 0306.19
ex 0309.90"
5,0306.39," 0306.39
ex 0309.90"
6,0306.99," 0306.99
ex 0309.90"
7,0307.21,ex 0307.21
8,0307.22,ex 0307.22
9,0307.29,ex 0307.29
10,0307.91," 0307.91
ex 0307.21
ex 0309.90"
11,0307.92," 0307.92
ex 0307.22
ex 0309.90"
12,0307.99," 0307.99
ex 0307.29
ex 0309.90"
13,0308.90," 0308.90
ex 0309.90"
14,0403.10,ex 0403.20
15,0410.00,"ex0410.10
 0410.90
ex1601.00"
16,,"ex1602.10
ex1602.90"
17,0704.10,ex 0704.10
18,0704.90,"ex 0704.10
 0704.90"
19,0709.59," 0709.52
 0709.53
 0709.54
 0709.55
 0709.56
 0709.59"
20,0712.39," 0712,34
 0712.39"
21,0802.90," 0802.91
 0802.92
 0802.99"
22,1211.90," 1211.60
 1211.90"
23,1509.10," 1509.20
 1509.30
 1509.40"
24,1510.00," 1510.10
 1510.90"
25,1515.90," 1515.60
 1515.90"
26,1516.20," 1516.20
 1516.30"
27,1601.00,ex 1601.00
28,1602.10,ex 1602.10
29,1602.90,ex 1602.90
30,1704.90,"ex1602.90
 1704.90
ex3006.93"
31,1806.90,ex1602.90
32,, 1806.90
33,1901.90,"ex0403.20
ex1602.90
 1901.90"
34,1904.90,"ex1602.90
 1904.90"
35,2106.90,"ex1601.00
ex1602.10
ex1602.90
 2106.90
 2404.91
ex3006.93"
36,2202.99," 2202.99
ex3006.93"
37,2403.91," 2403.91
ex 2404.11"
38,2403.99," 2403.99
ex 2404.11
ex 2404.19"
39,2518.30,ex3816.00
40,2844.40," 2844.41
 2844.42
 2844.43
 2844.44"
41,2845.90," 2845.20
 2845.30
 2845.40
 2845.90"
42,2903.31, 2903.62
43,2903.39," 2903.41
 2903.42
 2903.43
 2903.44
 2903.45
 2903.46
 2903.47
 2903.48
 2903.49"
44,," 2903.51
 2903.59
 2903.61
 2903.69"
45,2909.60,ex2909.60
46,2911.00,"ex2909.60
 2911.00"
47,2930.90," 2930.10
 2930.90"
